"id","Carats","Cert","Clarity","Color","Cut","Depth","Fluroescence","Known_Conflict_Diamond","Measurements","Polish","Regions","Shape","Symmetry","Table","Vendor","Price","Retail","LogPrice","LogRetail"
30,0.4,"AGSL","VS1","L"," ",64.4,"Faint",FALSE,"4.67x4.64x3","Excellent","Other/Unknown","Princess","Very good",56,1,"$ 620","$ 1,020",6.42971947803914,6.92755790627832
31,0.41,"AGSL","SI2","K"," ",61.1,"Faint",FALSE,"4.79x4.77x2.92","Very good","South Africa","Round","Excellent",59,1,"$ 625","$ 965",6.4377516497364,6.87212810133899
32,0.41,"AGSL","SI1","K"," ",61.3,"Medium Bl..",FALSE,"4.8X4.77x2.93","Excellent","South Africa","Princess","Excellent",60,1,"$ 625","$ 990",6.4377516497364,6.89770494312864
33,0.41,"AGSL","VS1","M"," ",NA,"Faint",FALSE,"4.78x4.75x2.95","Excellent","South Africa","Round","Very good",NA,1,"$ 625","$ 895",6.4377516497364,6.79682371827486
34,0.4,"AGSL","VS1","K"," ",61.1,NA,FALSE,"4.74x4.72x2.89","Very good","DR Congo","Round","Very good",NA,1,"$ 625","$ 815",6.4377516497364,6.70318811324086
35,0.41,"AGSL","VS2","L"," ",61.6,"None",FALSE,"4.79x4.77x2.94","Very good","Russia","Oval","Very good",56,1,"$ 625","$ 1,025",6.4377516497364,6.93244789157251
36,0.4,"AGSL","VVS1","L"," ",62.3,"Medium Bl..",TRUE,"4.69x4.64x2.9","Very good","Angola","Round","Very good",NA,1,"$ 630","$ 115",6.44571981938558,4.74493212836325
37,0.4,"AGSL","SI1","K"," ",62.7,"None",FALSE,"4.72x4.63x2.93","Very good","Russia","Round","Good",56,1,"$ 635","$ 1,045",6.45362499889269,6.95177216439891
38,0.42,"AGSL","SI1","L"," ",61.8,"None",FALSE,"4.84x4.81x2.98","Excellent","Russia","Princess","Excellent",58,1,"$ 635","$ 1,045",6.45362499889269,6.95177216439891
39,0.42,"AGSL","SI1","L"," ",NA,"Strong Bl..",FALSE,"4.82x4.79x2.94","Good","Russia","Round","Very good",NA,1,"$ 635","$ 1,045",6.45362499889269,6.95177216439891
40,0.4,"AGSL","VS2","K"," ",63.1,"Faint",FALSE,"4.68x4.63x2.94","Excellent","South Africa","Princess","Very good",58,1,"$ 635","$ 935",6.45362499889269,6.84054652928869
41,0.41,"AGSL","VS1","L"," ",61.3,"Medium Bl..",FALSE,"4.81x4.78x2.94","Excellent","Russia","Round","Very good",56,1,"$ 635","$ 1,045",6.45362499889269,6.95177216439891
42,0.4,"AGSL","VVS2","L"," ",63.4,NA,FALSE,"4.67x4.64x2.95","Very good","Russia","Round","Very good",58,1,"$ 635","$ 1,010",6.45362499889269,6.9177056098353
43,0.4,"AGSL","VS2","L"," ",62.2,"None",FALSE,"4.73x4.7x2.93","Very good","Russia","Round","Very good",57,1,"$ 635","$ 1,045",6.45362499889269,6.95177216439891
44,0.4,NA,"VS2","K"," ",NA,"None",FALSE,"4.69x4.68x2.86","Excellent","Australia","Round","Very good",NA,1,"$ 545","$ 625",6.30078579466324,6.4377516497364
45,0.4,"AGSL","SI1","K"," ",62.6,"None",FALSE,"4.75x4.72x2.96","Excellent","Russia","Pear","Very good",56,1,"$ 640","$ 1,060",6.46146817635372,6.96602418710611
46,0.4,"AGSL","SI1","K"," ",NA,"None",FALSE,"4.79x4.77x2.93","Excellent","Russia","Round","Excellent",57,1,"$ 640","$ 1,060",6.46146817635372,6.96602418710611
47,0.4,"AGSL","SI1","K"," ",60.4,"None",FALSE,"4.81x4.78x2.9","Excellent","Australia","Princess","Excellent",59,1,"$ 640","$ 1,060",6.46146817635372,6.96602418710611
48,0.41,"AGSL","VS2","L"," ",60,"None",FALSE,"4.84x4.83x2.9","Excellent","Russia","Round","Excellent",60,1,"$ 640","$ 1,055",6.46146817635372,6.96129604591017
49,0.4,"AGSL","VS1","L"," ",62.9,"None",FALSE,"4.72x4.7x2.96","Excellent","Russia","Round","Very good",NA,1,"$ 645","$ 1,065",6.46925031679577,6.97073007814353
50,0.4,"AGSL","VS1","L"," ",NA,"None",FALSE,"4.7x4.67x2.93","Excellent","Russia","Princess","Very good",NA,1,"$ 645","$ 1,065",6.46925031679577,6.97073007814353
51,0.41,"AGSL","SI1","K"," ",62.1,"None",FALSE,"4.8x4.77x2.97","Excellent","Angola","Round","Excellent",NA,2,"$ 650","$ 1,070",6.47697236288968,6.97541392745595
52,0.41,"AGSL","VS2","L"," ",61.6,"None",FALSE,"4.76*4.73x2.92","Very good","Australia","Round","Excellent",58,1,"$ 650","$ 1,070",6.47697236288968,6.97541392745595
53,0.4,"AGSL","VS2","K"," ",62.4,"None",FALSE,"4.71x4.7x2.94","Very good","Russia","Asscher","Excellent",59,1,"$ 655","$ 1,080",6.48463523563525,6.98471632011827
54,0.4,"GemEx","VS1","L"," ",62,"None",FALSE,"4.75x4.72x2.94","Excellent","Russia","Round","Very good",57,1,"$ 655","$ 1,080",6.48463523563525,6.98471632011827
55,0.4,"AGSL","VS1","K"," ",62.9,"None",FALSE,"4.69x4.63x2.93","Very good","Russia","Round","Very good",60,1,"$ 655","$ 1,080",6.48463523563525,6.98471632011827
56,0.4,"AGSL","VS2","K"," ",60.6,"None",FALSE,"4.8x4.78x2.9","Very good","South Africa","Radiant","Excellent",NA,1,"$ 655","$ 980",6.48463523563525,6.88755257166462
57,0.4,"AGSL","VVS2","M"," ",62.3,"None",FALSE,"4.75x4.72x2.95","Excellent","Australia","Round","Excellent",57,1,"$ 655","$ 1,080",6.48463523563525,6.98471632011827
58,0.4,"AGSL","VVS1","L"," ",61.7,NA,FALSE,"4.68x4.66x2.88","Very good","DR Congo","Round","Good",60,1,"$ 660","$ 1,040",6.49223983502047,6.94697599213542
59,0.41,"AGSL","VS2","K"," ",62.2,"None",FALSE,"4.76x4.73x2.95","Excellent","Australia","Round","Very good",NA,1,"$ 660","$ 1,090",6.49223983502047,6.99393297522319
60,0.43,"AGSL","SI1","K"," ",61.6,"None",TRUE,"4.87x4.85x2.99","Excellent","Angola","Round","Excellent",NA,1,"$ 660","$ 95",6.49223983502047,4.55387689160054
61,0.4,"AGSL","VS2","K"," ",61.6,"None",FALSE,"4.78x4.73x2.93","Excellent","Canada","Round","Very good",NA,1,"$ 665","$ 1,095",6.49978704065585,6.9985096422506
62,0.41,"AGSL","SI1","K"," ",NA,"None",FALSE,"4.86x4.83x2.88","Very good","Russia","Radiant","Excellent",NA,1,"$ 665","$ 1,100",6.49978704065585,7.00306545878646
63,0.4,"GemEx","VS2","K"," ",61.1,"Strong Bl..",FALSE,"4.77x4.73x2.9","Excellent","Canada","Round","Very good",NA,1,"$ 665","$ 1,095",6.49978704065585,6.9985096422506
64,0.42,"GemEx","SI1","K"," ",NA,NA,FALSE,"4.83x4.8x3","Very good","Australia","Round","Excellent",NA,2,"$ 665","$ 1,005",6.49978704065585,6.91274282049318
65,0.4,"AGSL","VVS2","L"," ",63.1,"None",FALSE,"4.7x4.66x2.95","Very good","Botswana","Round","Excellent",57,1,"$ 665","$ 1,050",6.49978704065585,6.95654544315157
66,0.41,"AGSL","VS2","L"," ",61.7,"None",FALSE,"4.76x4.73x2.93","Excellent","South Africa","Emerald","Excellent",59,1,"$ 665","$ 980",6.49978704065585,6.88755257166462
67,0.4,"AGSL","VVS2","L"," ",NA,NA,FALSE,"4.74*4.7x2.94","Very good","Botswana","Round","Excellent",57,1,"$ 665","$ 1,005",6.49978704065585,6.91274282049318
68,0.43,"AGSL","VS2","L"," ",60.9,"None",FALSE,"4.91x4.88x2.98","Very good","DR Congo","Round","Excellent",NA,1,"$ 670","$ 990",6.50727771238501,6.89770494312864
69,0.41,"AGSL","VS1","L"," ",62.4,"None",FALSE,"4.76x4.71x2.95","Excellent","Botswana","Round","Good",55,1,"$ 670","$ 1,040",6.50727771238501,6.94697599213542
70,0.42,"AGSL","SI1","K"," ",61.6,"None",FALSE,"4.83x4.8x2.96","Excellent","Russia","Oval","Very good",59,1,"$ 675","$ 1,110",6.51471269087253,7.01211529430638
71,0.43,"AGSL","SI2","K"," ",62.6,"Faint",TRUE,"4.84x4.8x3.02","Excellent","Angola","Oval","Excellent",56,1,"$ 675","$ 130",6.51471269087253,4.86753445045558
72,0.42,"AGSL","VVS1","K"," ",62.7,NA,FALSE,"4.8x4.78x3","Very good","Russia","Princess","Excellent",56,1,"$ 675","$ 1,035",6.51471269087253,6.94215670569947
73,0.4,"AGSL","VS2","K"," ",NA,"None",TRUE,"4.79x4.77x2.9","Very good","Angola","Round","Very good",56,1,"$ 680","$ 115",6.52209279817015,4.74493212836325
74,0.4,"AGSL","VVS1","L"," ",NA,"None",FALSE,"4.71x4.66x2.92","Excellent","Canada","Round","Very good",NA,1,"$ 680","$ 1,120",6.52209279817015,7.02108396428914
75,0.43,"AGSL","SI1","K"," ",60.3,"None",FALSE,"4.92x4.89x2.96","Excellent","South Africa","Oval","Excellent",NA,1,"$ 680","$ 1,020",6.52209279817015,6.92755790627832
76,0.44,"AGSL","VS1","M"," ",NA,"Medium Bl..",FALSE,"4.92x4.89x3.02","Very good","South Africa","Round","Very good",NA,1,"$ 680","$ 1,100",6.52209279817015,7.00306545878646
77,0.4,NA,"VS1","K"," ",NA,"None",FALSE,"4.72x4.65x2.94","Very good","Botswana","Round","Very good",NA,1,"$ 550","$ 850",6.30991827822652,6.74523634948436
78,0.4,"AGSL","SI2","J"," ",NA,"Medium Bl..",FALSE,"4.67*4.65x2.93","Excellent","Canada","Round","Very good",NA,1,"$ 685","$ 1,125",6.52941883826223,7.02553831463852
79,0.44,"AGSL","VS2","L"," ",NA,"Medium Bl..",FALSE,"4.94x4.9x2.98","Very good","DR Congo","Princess","Excellent",60,1,"$ 685","$ 1,065",6.52941883826223,6.97073007814353
80,0.4,"AGSL","VVS1","K"," ",62.6,"None",FALSE,"4.65x4.63*2.91","Excellent","South Africa","Emerald","Very good",NA,1,"$ 685","$ 1,120",6.52941883826223,7.02108396428914
81,0.42,"GemEx","VS2","L"," ",62.3,"Faint",FALSE,"4.79x4.77*2.98","Excellent","Canada","Round","Excellent",57,1,"$ 685","$ 1,125",6.52941883826223,7.02553831463852
82,0.4,"AGSL","I1","F"," ",62.1,"None",FALSE,"4.74x4.69x2.93","Very good","Canada","Round","Very good",NA,1,"$ 685","$ 1,130",6.52941883826223,7.02997291170639
83,0.4,"AGSL","VVS2","K"," ",62.1,NA,FALSE,"4.69x4.67+2.91","Very good","Angola","Round","Excellent",60,1,"$ 690","$ 1,065",6.5366915975913,6.97073007814353
84,0.43,"AGSL","SI1","K"," ",62.1,"None",FALSE,"4.86x4.83x3.01","Very good","Other/Unknown","Round","Excellent",57,1,"$ 690","$ 1,135",6.5366915975913,7.0343879299155
85,0.41,"AGSL","VS2","K"," ",61.7,"Faint",FALSE,"4.77x4.76x2.94","Very good","DR Congo","Princess","Very good",58,1,"$ 690","$ 1,070",6.5366915975913,6.97541392745595
86,0.42,"AGSL","VS2","K"," ",NA,"Strong Bl..",FALSE,"4.79x4.77x2.98","Excellent","Angola","Round","Excellent",NA,1,"$ 695","$ 1,150",6.54391184556479,7.0475172213573
87,0.4,"AGSL","VS1","K"," ",62,"None",FALSE,"4.7x4.68x2.91","Excellent","Australia","Round","Very good",60,1,"$ 695","$ 1,140",6.54391184556479,7.03878354138854
88,0.4,"AGSL","SI2","J"," ",NA,"Faint",FALSE,"4.67x4.66x2.93","Excellent","Russia","Round","Very good",NA,1,"$ 695","$ 1,140",6.54391184556479,7.03878354138854
89,0.4,"AGSL","SI2","J"," ",64.1,"None",FALSE,"4.6x4.63x2.96"," ","DR Congo","Emerald"," ",56,1,"$ 695","$ 1,020",6.54391184556479,6.92755790627832
90,0.4,"AGSL","VVS1","K"," ",63.2,"None",FALSE,"4.67x4.64x2.94","Excellent","Australia","Oval","Very good",58,1,"$ 695","$ 1,145",6.54391184556479,7.04315991598834
91,0.4,"AGSL","VS1","K"," ",62.2,"Faint",FALSE,"4.68x4.66+2.91","Very good","Australia","Round","Very good",59,1,"$ 695","$ 1,140",6.54391184556479,7.03878354138854
92,0.41,"AGSL","SI2","J"," ",59.3,"None",FALSE,"4.85x4.84x2.87","Excellent","Other/Unknown","Radiant","Excellent",NA,1,"$ 700","$ 1,155",6.5510803350434,7.05185562295589
93,0.4,"AGSL","SI1","J"," ",62.7,"Strong Bl..",FALSE,"4.67x4.63x2.91","Excellent","Angola","Marwuise","Very good",60,1,"$ 555","$ 1,155",6.31896811374643,7.05185562295589
94,0.41,"AGSL","VS2","K"," ",60.6,"None",FALSE,"4.84x4.81x2.93","Very good","Botswana","Pear","Excellent",60,1,"$ 700","$ 1,010",6.5510803350434,6.9177056098353
95,0.42,"AGSL","VVS2","L"," ",59.9,"None",FALSE,"4.91x4.88x2.93","Very good","Australia","Princess","Excellent",58,1,"$ 700","$ 1,150",6.5510803350434,7.0475172213573
96,0.4,"AGSL","SI1","J"," ",61.8,"Strong Bl..",TRUE,"4.76x4.72x2.93","Very good","Angola","Round","Excellent",58,1,"$ 700","$ 75",6.5510803350434,4.31748811353631
97,0.43,"AGSL","VVS2","L"," ",62.2,"None",FALSE,"4.84x4.81x3","Very good","Russia","Round","Excellent",57,1,"$ 705","$ 1,160",6.55819780281227,7.05617528410041
98,0.4,"AGSL","VVS1","K"," ",63.1,"None",FALSE,"4.68x4.66x2.95","Very good","Australia","Princess","Excellent",58,1,"$ 705","$ 1,165",6.55819780281227,7.0604763659998
99,0.4,"AGSL","VVS1","K"," ",63.5,NA,FALSE,"4.65-4.62*2.95","Very good","Other/Unknown","Pear","Excellent",NA,1,"$ 705","$ 1,135",6.55819780281227,7.0343879299155
100,0.4,"AGSL","VS2","J"," ",64.8,NA,FALSE,"4.64-4.61x3","Excellent","Russia","Princess","Very good",NA,1,"$ 705","$ 1,165",6.55819780281227,7.0604763659998
101,0.4,"AGSL","VVS1","K"," ",59,"None",FALSE,"4.82x4.79x2.84","Excellent","Botswana","Oval","Good",NA,1,"$ 705","$ 1,085",6.55819780281227,6.98933526597456
102,0.4,"AGSL","SI2","J"," ",60.2,"None",FALSE,"4.76x4.73x2.86","Excellent","Botswana","Emerald","Very good",NA,1,"$ 705","$ 1,120",6.55819780281227,7.02108396428914
103,0.4,"AGSL","SI1","J"," ",63.6,"Strong Bl..",FALSE,"4.67x4.64x2.96","Excellent","Botswana","Round","Very good",57,1,"$ 710","$ 1,130",6.56526497003536,7.02997291170639
104,0.4,"AGSL","SI2","J"," ",61.4,"None",FALSE,"4.76x4.75x2.92","Very good","Russia","Round","Very good",NA,1,"$ 715","$ 1,175",6.57228254269401,7.06902342657826
105,0.45,"AGSL","SI1","K"," ",62.2,"Faint",FALSE,"4.92x4.9x3.05","Excellent","Botswana","Round","Excellent",56,1,"$ 715","$ 1,120",6.57228254269401,7.02108396428914
106,0.4,"AGSL","VS2","J"," ",64.5,"None",FALSE,"4.63x4.62x2.98","Excellent","Russia","Cushion","Very good",NA,1,"$ 715","$ 1,180",6.57228254269401,7.07326971745971
107,0.4,"AGSL","VS2","J"," ",59.5,"Strong Bl..",FALSE,"4.77x4.8x2.85","Good","Botswana","Pear","Good",62,1,"$ 720","$ 1,025",6.5792512120101,6.93244789157251
108,0.41,"AGSL","VS1","K"," ",61.8,"Faint",FALSE,"4.79x4.76x2.95","Excellent","Australia","Radiant","Excellent",57,1,"$ 720","$ 1,190",6.5792512120101,7.08170858610557
109,0.4,"AGSL","VS2","J"," ",64,NA,FALSE,"4.68x4.64x2.98","Very good","Australia","Oval","Very good",55,1,"$ 725","$ 825",6.58617165485467,6.71538338633468
110,0.4,"AGSL","SI2","I"," ",NA,NA,TRUE,"4.63x4.6x3.04","Excellent","Angola","Round","Very good",NA,1,"$ 725","$ 110",6.58617165485467,4.70048036579242
111,0.4,"AGSL","VVS1","K"," ",59.6,"None",FALSE,"4.8x4.78x2.86","Very good","Russia","Round","Very good",62,1,"$ 725","$ 1,200",6.58617165485467,7.09007683577609
112,0.4,"AGSL","VVS1","K"," ",63.1,NA,FALSE,"4.7x4.67x2.96","Very good","Russia","Marquise","Excellent",NA,1,"$ 725","$ 825",6.58617165485467,6.71538338633468
113,0.4,"GemEx","VS2","J"," ",58.2,"None",FALSE,"4.83x4.8x2.8","Very good","Russia","Round","Very good",NA,1,"$ 725","$ 1,200",6.58617165485467,7.09007683577609
114,0.41,"AGSL","SI2","I"," ",61.7,"None",FALSE,"4.78x4.75x2.94","Very good","Australia","Marquise","Very good",56,1,"$ 725","$ 1,190",6.58617165485467,7.08170858610557
115,0.4,"AGSL","SI2","H"," ",64.4,NA,FALSE,"4.59+4.55x2.95","Very good","Russia","Round","Very good",59,1,"$ 730","$ 1,200",6.59304453414244,7.09007683577609
116,0.4,"AGSL","SI2","H"," ",NA,"None",FALSE,"4.66x4.68x3"," ","Russia","Round"," ",55,1,"$ 730","$ 1,205",6.59304453414244,7.09423484592476
117,0.41,NA,"SI2","J"," ",61.8,"None",FALSE,"4.8x4.78x2.96","Very good","Australia","Round","Excellent",58,2,"$ 600","$ 955",6.39692965521615,6.86171134048073
118,0.41,"AGSL","VS1","K"," ",62.4,"None",FALSE,"4.76x4.74x2.96","Very good","Botswana","ROUND","Excellent",56,1,"$ 730","$ 1,125",6.59304453414244,7.02553831463852
119,0.4,"AGSL","SI1","J"," ",62.9,NA,FALSE,"4.7x4.68x2.95","Very good","South Africa","Round","Very good",NA,1,"$ 730","$ 995",6.59304453414244,6.90274273715859
120,0.41,"GemEx","SI2","J"," ",NA,"None",FALSE,"4.85x4.82x2.89","Excellent","Russia","Marquise","Very good",58,1,"$ 730","$ 1,205",6.59304453414244,7.09423484592476
121,0.41,"AGSL","SI1","J"," ",63.7,"Medium Bl..",FALSE,"4.66x4.64x2.96","Very good","DR Congo","Round","Excellent",58,1,"$ 730","$ 1,105",6.59304453414244,7.00760061395185
122,0.41,"AGSL","SI2","J"," ",63,"Faint",FALSE,"4.74x4.71x2.98","Very good","Russia","Radiant","Very good",55,2,"$ 730","$ 1,205",6.59304453414244,7.09423484592476
123,0.4,"AGSL","SI2","H"," ",63.5,"None",FALSE,"4.63x4.61x2.93","Very good","Botswana","Round","Good",58,1,"$ 730","$ 1,110",6.59304453414244,7.01211529430638
124,0.4,"AGSL","SI1","J"," ",62.3,NA,FALSE,"4.73x4.7x2.94","Very good","Botswana","Asscher","Very good",58,1,"$ 730","$ 960",6.59304453414244,6.86693328446188
125,0.43,"AGSL","VVS2","L"," ",61.8,"Medium Bl..",FALSE,"4.85x4.83x2.99","Excellent","Botswana","Princess","Excellent",57,1,"$ 735","$ 985",6.59987049921284,6.89264164117209
126,0.41,"AGSL","SI2","I"," ",62.8,"Faint",FALSE,"4.76x4.73x2.98","Excellent","DR Congo","Round","Excellent",56,1,"$ 735","$ 1,135",6.59987049921284,7.0343879299155
127,0.41,"AGSL","SI2","I"," ",61.7,"Faint",FALSE,"4.81x4.77x2.96","Excellent","Angola","Round","Excellent",56,1,"$ 735","$ 1,210",6.59987049921284,7.09837563859079
128,0.4,"AGSL","SI1","J"," ",61.2,"None",FALSE,"4.78x4.75x2.92","Excellent","Canada","Radiant","Excellent",59,1,"$ 740","$ 1,225",6.60665018619822,7.11069612297883
129,0.41,"AGSL","SI2","J"," ",61.7,"None",FALSE,"4.78x4.75x2.94","Very good","Angola","Oval","Excellent",58,1,"$ 740","$ 1,220",6.60665018619822,7.1066061377273
130,0.41,"AGSL","SI1","J"," ",61.2,"None",FALSE,"4.82x4.79x2.94","Excellent","Russia","Round","Very good",57,1,"$ 740","$ 1,220",6.60665018619822,7.1066061377273
131,0.4,"AGSL","SI2","I"," ",62.1,"None",FALSE,"4.68*4.67x2.9","Very good","DR Congo","Marwuise","Good",56,1,"$ 635","$ 1,185",6.45362499889269,7.07749805356923
132,0.4,"AGSL","SI1","J"," ",64,"None",TRUE,"4.66x4.62x2.97","Very good","DR Congo","Round","Very good",58,1,"$ 740","$ 95",6.60665018619822,4.55387689160054
133,0.45,"AGSL","VVS1","K"," ",62.7,"None",FALSE,"4.91x4.88x3.07","Very good","Russia","Round","Excellent",NA,1,"$ 745","$ 1,230",6.61338421837956,7.11476944836646
134,0.41,"AGSL","SI1","J"," ",NA,"Medium Bl..",FALSE,"4.76x4.73*2.97","Excellent","Angola","Emerald","Excellent",56,1,"$ 750","$ 1,235",6.62007320653036,7.11882624906208
135,0.4,"AGSL","SI1","J"," ",NA,"None",FALSE,"4.78x4.74x2.89","Very good","Canada","Emerald","Very good",NA,1,"$ 750","$ 1,240",6.62007320653036,7.12286665859908
136,0.43,"AGSL","VVS2","K"," ",61.4,"None",FALSE,"4.89x4.86x2.99","Very good","Botswana","ROUND","Very good",58,1,"$ 755","$ 1,050",6.62671774924902,6.95654544315157
137,0.4,"AGSL","VVS2","J"," ",64.5,NA,FALSE,"4.61x4.59x2.97","Excellent","Botswana","Radiant","Very good",58,1,"$ 755","$ 950",6.62671774924902,6.85646198459459
138,0.42,"AGSL","VVS1","K"," ",NA,"Strong Bl..",FALSE,"4.81x4.79x2.98","Very good","South Africa","Round","Excellent",NA,1,"$ 755","$ 1,230",6.62671774924902,7.11476944836646
139,0.4,"AGSL","SI2","G"," ",59.9,"None",FALSE,"4.82x4.79x2.88","Excellent","DR Congo","Princess","Very good",NA,1,"$ 755","$ 1,160",6.62671774924902,7.05617528410041
140,0.5,"AGSL","I1","J"," ",61.2,"Faint",FALSE,"5.1x5.08x3.12","Excellent","South Africa","Round","Very good",56,1,"$ 755","$ 1,175",6.62671774924902,7.06902342657826
141,0.4,"AGSL","SI2","I"," ",60.3,NA,FALSE,"4.81x4.78x2.89","Very good","Russia","Round","Very good",57,1,"$ 760","$ 985",6.63331843328038,6.89264164117209
142,0.42,"AGSL","SI2","J"," ",62.2,"None",TRUE,"4.79x4.78x2.98","Excellent","DR Congo","Round","Very good",61,1,"$ 760","$ 110",6.63331843328038,4.70048036579242
