;id;Carats;Cert;Clarity;Color;Cut;Depth;Fluroescence;Known_Conflict_Diamond;Measurements;Polish;Regions;Shape;Symmetry;Table;Vendor;Offers;Price;Difference;Retail
17;8068;0,42;GemEx;SI1;K; ;61,8;;;4.83x4.8x2.98;Excellent;Russia;Round;Excellent;;1;;837,7174112704639;13459,816037312201;14297,533448582664
18;8069;0,41;AGSL;VS2;K; ;60,3;None;;4.83x4.79x2.9;Excellent;Russia;Round;Excellent;;1;;1218,456888088623;13727,175233182159;14945,632121270783
19;8070;0,4;AGSL;SI1;J; ;63,6;None;;4.67x4.64x2.96;Excellent;Botswana;Round;Excellent;58,0;1;;1048,1875976764175;10134,918828793561;11183,106426469978
20;8071;0,4;AGSL;SI1;J; ;62,9;;;4.64*4.62x2.91;Very good;Zimbabwe;Round;Good;59,0;1;;1299,5861483297244;-9298,685259589827;-7999,099111260102
21;8072;0,41;GemEx;VS1;K; ;62,4;None;False;4.76x4.74x2.96;Excellent;Botswana;Round;Excellent;;1;;1116,5329436297898;10152,96089970793;11269,493843337721
22;8073;0,4;AGSL;VS2;J; ;64,1;None;;4.64x4.6x2.96;Excellent;Russia;Round;Very good;59,0;1;;1336,2275715806745;13802,020564296337;15138,248135877013
24;8075;0,4;AGSL;VVS1;K; ;60,2;None;False;4.81x4.77x2.88;Excellent;Russia;Radiant;Very good;61,0;1;;1461,1134034928139;13881,387696792983;15342,501100285797
25;8076;0,4;AGSL;VVS1;K; ;61,9;None;;4.76x4.74x2.94;Excellent;Zimbabwe;Emerald;Very good;;1;;1225,2623386440678;-9345,919341796423;-8120,657003152355
27;8078;0,41;GemEx;SI2;H; ;64,1;None;;4.64x4.68x2.99; ;Canada;Round; ;57,0;1;;1138,595157347672;17527,975948925094;18666,571106272764
28;8079;0,4;AGSL;SI1;J; ;59,1;None;;4.82x4.79x2.84;Very good;Botswana;Asscher;Very good;61,0;1;;1324,939341733706;10310,79940710227;11635,738748835975
29;8080;0,4;AGSL;SI2;H; ;62,7;Faint;;4.75x4.72x2.97;Excellent;Canada;Pear;Excellent;55,0;1;;1210,4577740188586;17599,038492812324;18809,496266831182
30;8081;0,43;AGSL;SI2;J; ;61,7;None;;4.82x4.77x2.96;Very good;DR Congo;Pear;Very good;59,0;1;;1016,8190919115958;-6545,189779844175;-5528,370687932579
31;8082;0,4;AGSL;SI2;G; ;62,4;None;;4.73x4.7x2.95;Very good;Australia;Round;Very good;57,0;1;;1494,2560763234317;13827,689659876618;15321,94573620005
32;8083;0,4;AGSL;SI2;G; ;;None;;4.72x4.7x2.93;Very good;Botswana;Round;Excellent;;1;;1484,5126112214487;10412,211013434575;11896,723624656024
33;8084;0,4;AGSL;SI1;J; ;62,0;Faint;;4.75x4.72x2.94;Very good;Botswana;Marquise;Excellent;;1;;1038,4489463940954;10128,729745413737;11167,178691807832
35;8086;0,4;AGSL;SI1;I; ;;None;;4.69*4.64x3;Excellent;Botswana;Princess;Very good;;1;;1090,5410909202471;10161,835215212348;11252,376306132595
36;8087;0,41;GemEx;SI1;J; ;63,1;Faint;False;4.73x4.69x2.97;Excellent;Botswana;Round;Very good;58,0;1;;936,5832218562856;10038,599701227227;10975,182923083514
37;8088;0,4;AGSL;VVS1;J; ;;None;;4.62x4.59x2.97;Very good;Angola;Round;Good;;1;;1814,433147333982;3845,471237536909;5659,904384870892
38;8089;0,41;AGSL;SI2;J; ;62,7;;;4.72x4.74x2.97; ;South Africa;Round; ;;1;;1071,1342823582647;9854,103814464012;10925,238096822277
39;8090;0,4;AGSL;VS1;J; ;63,2;Medium Bl..;;4.67x4.65x2.95;Very good;Botswana;Round;Very good;57,0;2;;1160,3104945650857;15847,080325306242;17007,39081987133
40;8091;0,41;AGSL;VVS2;J; ;62,3;;;4.78x4.74x2.97;Excellent;South Africa;Princess;Very good;58,0;1;;1554,3342399770834;10161,185846681128;11715,52008665821
41;8092;0,4;AGSL;SI2;E; ;63,3;None;;4.6x4.64x2.92; ;Russia;Round; ;57,0;1;;1433,9679444810004;13864,136282368418;15298,104226849418
43;8094;0,4;AGSL;SI2;E; ;;None;;4.69x4.74x2.94; ;Russia;Radiant; ;57,0;1;;1362,4544688182664;13818,688216632563;15181,14268545083
45;8096;0,4;AGSL;SI2;E; ;;Faint;;4.83X4.86x2.81; ;Botswana;Round; ;;1;;1729,0709654917805;10567,632128939407;12296,703094431188
46;8097;0,4;AGSL;SI2;E; ;62,0;None;;4.68x4.7x2.91; ;South Africa;ROUND; ;56,0;1;;1696,3338290362126;10251,429071447033;11947,762900483245
47;8098;0,4;AGSL;SI2;E; ;;Faint;;4.7x4.74x2.93; ;Russia;Asscher; ;56,0;1;;1841,091110215108;14122,870181502818;15963,961291717926
48;8099;0,4;AGSL;SI2;E; ;63,6;;;4.65x4.67x2.97; ;South Africa;Round; ;55,0;1;;1589,4422221214675;10183,497583952521;11772,93980607399
49;8100;0,4;AGSL;SI2;E; ;63,2;None;False;4.62x4.65x2.93; ;Botswana;Round; ;;1;;1469,1280249154336;10402,433839506513;11871,561864421947
50;8101;0,5;AGSL;VS1;M; ;64,1;;;5.02x5*3.21;Very good;Australia;Round;Very good;;1;;936,8422611624857;13473,443421965003;14410,28568312749
51;8102;0,4;AGSL;VS2;I; ;62,5;None;False;4.66x4.65x2.91;Very good;DR Congo;Radiant;Very good;59,0;1;;1450,324536050011;-6269,689480921919;-4819,364944871908
52;8103;0,4;AGSL;SI2;F; ;61,7;None;;4.73x4.72x2.91;Very good;Canada;Round;Very good;;1;;1451,6628668530534;17752,328551970553;19203,991418823607
54;8105;0,4;AGSL;SI1;G; ;63,8;Strong Bl..;;4.67x4.63x2.97;Very good;Australia;Asscher;Excellent;56,0;1;;1357,8755977200483;13741,017478176414;15098,893075896463
55;8106;0,4;AGSL;SI1;F; ;64,6;None;;4.65x4.62x2.99;Very good;Russia;Oval;Excellent;56,0;1;;1794,7420747747092;14093,414558070068;15888,156632844777
56;8107;0,41;AGSL;SI2;E; ;;None;;4.67x4.69x2.98; ;Russia;Emerald; ;59,0;1;;1618,407788829786;13981,351032352133;15599,75882118192
57;8108;0,4;AGSL;SI1;I; ;63,0;;;4.67x4.66x2.94;Excellent;Botswana;ROUND;Very good;58,0;1;;1100,374929384825;10168,084791712889;11268,459721097714
58;8109;0,4;AGSL;SI1;I; ;;None;;4.72x4.68x2.96;Very good;Australia;Round;Very good;;1;;1329,267187761665;13722,836332814124;15052,103520575789
59;8110;0,51;AGSL;SI1;M; ;62,6;Faint;;5.09x5.04x3.17;Very good;Russia;Round;Very good;;2;;895,5375041363184;19162,859744143447;20058,397248279765
60;8111;0,41;AGSL;SI2;F; ;61,9;;;4.69x4.75*2.92; ;Russia;Round; ;59,0;1;;1495,5653888473535;13903,282536620209;15398,847925467562
61;8112;0,4;AGSL;SI2;F; ;61,9;None;False;4.73x4.74x2.93; ;Russia;Round; ;56,0;1;;1670,575788853075;14014,504709647143;15685,080498500218
62;8113;0,4;AGSL;SI1;F; ;;;;4.62x4.61x3.01;Very good;Australia;Pear;Excellent;57,0;1;;1666,8993586739189;13937,407488193654;15604,306846867574
63;8114;0,4;GemEx;SI2;H; ;;None;;4.77x4.74x2.89;Excellent;DR Congo;Round;Excellent;58,0;1;;1566,827031061281;-6221,042698717098;-4654,215667655817
64;8115;0,4;AGSL;SI1;I; ;;None;;4.73x4.71x2.94;Very good;Russia;Round;Very good;58,0;1;;1189,6241312462355;13708,851511447552;14898,475642693787
65;8116;0,4;AGSL;SI1;H; ;63,2;None;;4.7x4.68x2.97;Very good;Canada;Emerald;Very good;55,0;1;;1458,1521020253003;17756,452574526447;19214,604676551746
66;8117;0,4;AGSL;VS1;I; ;64,8;None;;4.63x4.6x2.99;Very good;Australia;Round;Very good;56,0;1;;1520,1908810345399;13844,17168229874;15364,36256333328
67;8118;0,42;AGSL;SI1;I; ;60,8;Medium Bl..;;4.87x4.84x2.95;Excellent;Canada;Oval;Excellent;58,0;1;;1733,132441210536;17931,20739402783;19664,339835238367
68;8119;0,41;AGSL;VS2;J; ;60,5;None;;4.84x4.81x2.92;Excellent;Other/Unknown;Round;Excellent;58,0;1;;1251,6929471907808;14477,937553259198;15729,630500449979
69;8120;0,4;AGSL;SI1;I; ;62,1;None;;4.75x4.73x2.94;Very good;Angola;Round;Excellent;;1;;1514,5066936758058;3654,8627255682877;5169,3694192440935
70;8121;0,4;AGSL;SI1;F; ;64,1;None;False;4.69x4.66x2.99;Very good;Other/Unknown;Round;Very good;;1;;2169,073163572493;15060,94874090608;17230,021904478574
71;8122;0,4;AGSL;SI1;I; ;63,0;Faint;;4.68x4.64x2.94;Very good;Canada;Princess;Very good;60,0;1;;1544,2805997841956;17811,188742662605;19355,469342446802
72;8123;0,4;AGSL;SI1;F; ;59,2;Medium Ye..;;4.83x4.8x2.85;Very good;Australia;Oval ;Very good;63,0;1;;1482,9051309177205;13820,47593535572;15303,381066273441
73;8124;0,41;AGSL;SI1;I; ;63,4;None;;4.7x4.69x2.98;Very good;Botswana;Round;Very good;57,0;1;;1138,5722465976542;10192,359855503786;11330,93210210144
74;8125;0,43;AGSL;IF;K; ;60,8;Medium Bl..;;4.9x4.87x2.97;Excellent;Russia;Round;Excellent;59,0;1;;2111,194078170067;14294,525346201557;16405,719424371622
75;8126;0,4;AGSL;SI1;G; ;63,6;None;;4.65+4.64*2.95;Very good;DR Congo;Round;Excellent;59,0;1;;2326,978108874991;-5712,560788237188;-3385,582679362197
76;8127;0,41;AGSL;SI2;G; ;61,9;;False;4.75x4.74x2.94;Very good;Russia;Round;Excellent;;1;;1238,3624552198894;13739,825569571316;14978,188024791205
77;8128;0,4;AGSL;SI2;G; ;62,9;;;4.64x4.69x2.94; ;Russia;Round; ;;1;;1232,6674376546541;13736,206286208664;14968,873723863318
78;8129;0,41;AGSL;SI1;I; ;;Faint;;4.76*4.75x2.95;Excellent;Botswana;Round;Excellent;;1;;1808,0233309749492;10617,807739385233;12425,831070360182
79;8130;0,4;AGSL;SI2;F; ;61,7;;;4.74x4.71x2.92;Very good;Russia;Round;Excellent;60,0;1;;1249,9071201697893;13747,162406253898;14997,069526423687
80;8131;0,41;AGSL;SI1;I; ;63,7;None;;4.71x4.68x2.99;Excellent;Russia;Princess;Excellent;57,0;1;;1472,9633723666902;13888,918559464062;15361,881931830752
81;8132;0,4;AGSL;VS2;H; ;;None;;4.61x4.57x2.98;Excellent;Botswana;Round;Good;;1;;1548,91972666646;10453,14286284442;12002,062589510879
82;8133;0,4;AGSL;SI1;F; ;63,2;None;;4.7x4.67x2.96;Very good;Angola;Round;Very good;56,0;1;;1525,22801592429;3661,676313550255;5186,904329474545
83;8134;0,4;AGSL;VS1;I; ;61,9;None;;4.71x4.68x2.91;Very good;Canada;Round;Good;57,0;1;;2048,1101112934343;18131,381217528804;20179,491328822238
84;8135;0,4;AGSL;VS2;I; ;63,4;Faint;;4.67x4.64x2.95;Very good;South Africa;Radiant;Very good;58,0;1;;1541,890608500684;10153,277701033177;11695,168309533861
85;8136;0,4;AGSL;VVS2;I; ;62,7;None;;4.69x4.67x2.93;Very good;Canada;Princess;Very good;60,0;1;;1905,2565441702618;18040,59527475301;19945,85181892327
86;8137;0,4;AGSL;VS1;I; ;62,4;Strong Bl..;;4.73x4.69x2.94;Excellent;Russia;Cushion;Good;;1;;1411,8705953903502;13850,093030173597;15261,963625563947
87;8138;0,4;AGSL;VS2;I; ;62,9;None;;4.73*4.7x2.97;Excellent;South Africa;Radiant;Very good;;1;;1294,5765983401213;9996,105317968151;11290,681916308273
88;8139;0,41;AGSL;SI2;H; ;61,9;;;4.77x4.79x2.95; ;Angola;Pear; ;58,0;1;;1129,0273288379028;3409,8838408110896;4538,911169648993
89;8140;0,41;AGSL;SI2;G; ;59,6;None;;4.83x4.88x2.89; ;Russia;Round; ;59,0;1;;1218,351098138076;13727,108001816574;14945,459099954649
91;8142;0,42;AGSL;SI2;G; ;62,6;None;;4.8x4.75x2.99;Very good;Angola;Round;Very good;;1;;1543,5969888096922;3673,3501173957447;5216,947106205437
92;8143;0,4;AGSL;SI1;E; ;64,1;;;4.59x4.63x2.96; ;Russia;Oval; ;57,0;1;;1530,8786165441213;13925,724711033276;15456,603327577397
93;8144;0,4;AGSL;VS2;I; ;;None;;4.64x4.61x2.92;Very good;Russia;Round;Very good;;1;;1679,3520248663622;14020,08216127495;15699,434186141312
94;8145;0,41;AGSL;SI1;H; ;61,1;Medium Bl..;;4.82x4.8x2.94;Excellent;Angola;Round;Very good;58,0;1;;1854,9683457534734;3871,232065762815;5726,200411516289
95;8146;0,44;AGSL;SI2;I; ;;None;;4.89x4.87x3.04;Excellent;Russia;Oval ;Excellent;57,0;1;;915,1008573863448;13534,387164962045;14449,48802234839
96;8147;0,4;AGSL;SI1;F; ;62,1;Medium Bl..;;4.73x4.72x2.93;Good;Canada;Round;Excellent;;1;;2129,3717522093866;18183,02441293954;20312,396165148926
97;8148;0,4;AGSL;SI1;G; ;62,1;;;4.7x4.68X2.92;Excellent;Russia;Round;Very good;59,0;1;;1464,832357158959;13883,751156953756;15348,583514112715
98;8149;0,4;AGSL;SI2;I; ;61,1;None;;4.74x4.76x2.91; ;Botswana;Princess; ;58,0;1;;981,3708850844328;10092,455638213152;11073,826523297585
99;8150;0,4;AGSL;SI2;F; ;;None;;4.74x4.71x2.95;Very good;Canada;Radiant;Very good;;1;;1334,316138037896;17677,752651475508;19012,068789513403
100;8151;0,4;AGSL;SI1;G; ;62,4;None;;4.72x4.69x2.94;Excellent;Russia;Round;Very good;58,0;1;;1588,0641924650633;13962,067145651537;15550,1313381166
101;8152;0,4;AGSL;SI1;F; ;62,7;None;;4.67x4.62*2.91;Very good;Canada;Round;Very good;59,0;1;;1582,0931181835927;17835,21926007108;19417,31237825467
102;8153;0,4;AGSL;VVS1;I; ;63,2;None;;4.66x4.64x2.94;Excellent;Canada;Emerald;Very good;;1;;1567,8391665294814;17826,160624257784;19393,999790787264
103;8154;0,4;GemEx;SI2;E; ;61,7;None;False;4.7x4.68x2.9;Excellent;Botswana;Round;Very good;58,0;1;;1653,824978509751;10494,419393988599;12148,24437249835
104;8155;0,4;AGSL;SI1;F; ;63,0;None;;4.7x4.67x2.95;Very good;Russia;Princess;Good;55,0;1;;2633,032362699712;14626,162711593193;17259,195074292904
105;8156;0,41;AGSL;SI2;F; ;62,1;None;;4.74x4.77x2.95; ;Canada;Round; ;;1;;1326,7313440741705;17672,9323821282;18999,663726202372
106;8157;0,41;AGSL;SI2;F; ;62,7;Faint;;4.71x4.75x2.97; ;Botswana;Princess; ;;1;;1531,7843341361483;10442,253020910288;11974,037355046436
107;8158;0,4;AGSL;VS2;I; ;62,6;Faint;;4.72x4.67x2.94;Excellent;Russia;Round;Very good;58,0;1;;1585,2962317292508;13960,308058146566;15545,604289875817
108;8159;0,4;AGSL;SI1;F; ;58,9;None;;4.87x4.85x2.86;Excellent;Russia;Marquise;Excellent;;1;;1571,6781114708972;13951,65350431647;15523,331615787367
109;8160;0,41;AGSL;SI2;H; ;61,8;;;4.76x4.79x2.95; ;Russia;Round; ;58,0;1;;1172,1166900266637;13697,725226058123;14869,841916084786
110;8161;0,4;AGSL;SI1;H; ;62,3;None;;4.72x4.7x2.93;Excellent;Australia;Round;Very good;;1;;1454,0743180673812;13802,15344906209;15256,227767129472
111;8162;0,4;AGSL;SI1;H; ;59,1;None;;4.84x4.82x2.85;Excellent;Russia;Princess;Very good;60,0;1;;1381,706312510546;13830,92310033182;15212,629412842365
112;8163;0,4;AGSL;SI2;D; ;59,7;Medium Bl..;;4.82x4.79x2.87;Very good;DR Congo;Round;Very good;;1;;1806,2715080388484;-6043,478948829757;-4237,2074407909095
113;8164;0,42;AGSL;SI2;F; ;61,8;;;4.83x4.8x2.98;Very good;Russia;Round;Very good;59,0;1;;1552,236508211108;13939,298025090033;15491,534533301141
114;8165;0,44;AGSL;VS2;J; ;61,5;None;;4.9x4.89*3.01;Excellent;Russia;Princess;Excellent;58,0;1;;939,055558233993;13549,610796714209;14488,666354948202
115;8166;0,43;AGSL;SI1;I; ;62,4;None;;4.84x4.81x3.01;Excellent;Angola;Round;Excellent;56,0;1;;1278,04334148647;3504,586125601254;4782,629467087724
116;8167;0,4;AGSL;SI1;G; ;62,5;None;False;4.72x4.68x2.94;Excellent;Botswana;Round;Excellent;59,0;1;;1800,9592699443026;10613,318404933121;12414,277674877423
117;8168;0,41;AGSL;SI1;F; ;63,4;None;;4.7x4.66x2.97;Excellent;Australia;Round;Very good;;1;;1793,0621377838386;14017,586142989392;15810,64828077323
118;8169;0,41;AGSL;SI2;F; ;62,1;None;;4.77x4.74x2.95;Excellent;Angola;Pear;Excellent;57,0;2;;1424,5012438349352;9238,56811917014;10663,069363005076
119;8170;0,4;AGSL;SI2;G; ;61,1;None;;4.75x4.76x2.91; ;Russia;Round; ;;1;;1550,3714991040338;13938,112779152663;15488,484278256698
120;8171;0,41;AGSL;VVS2;I; ;62,5;None;;4.79x4.77x2.99;Very good;Angola;Round;Very good;56,0;1;;1487,7952586453046;3637,8871409820968;5125,6823996274015
121;8172;0,4;AGSL;SI1;E; ;63,7;None;;4.71x4.67x2.99;Very good;Russia;Round;Very good;55,0;2;;1901,5422751264364;19802,19338775162;21703,735662878058
122;8173;0,45;AGSL;VS1;J; ;61,6;None;;4.96x4.93x3.04;Excellent;Botswana;Round;Very good;57,0;1;;1070,0326561717116;10148,801745898301;11218,834402070013
124;8175;0,4;AGSL;SI2;E; ;;None;;4.83x4.8x2.83;Very good;Russia;Round;Very good;61,0;1;;2049,561809864205;14255,356960726564;16304,918770590768
126;8177;0,41;AGSL;VS2;I; ;61,3;None;;4.8x4.78x2.94;Very good;Australia;Round;Excellent;58,0;1;;1613,8489894357517;13903,693049815382;15517,542039251133
127;8178;0,42;AGSL;SI2;E; ;;None;;4.76x4.8x3.02; ;Botswana;Oval ; ;56,0;1;;1368,6899850574769;10338,603706856102;11707,29369191358
128;8179;0,4;AGSL;SI2;H; ;62,1;None;;4.7x4.75x2.94; ;Russia;Round; ;57,0;1;;1338,2739777887214;13803,321091267007;15141,59506905573
129;8180;0,4;AGSL;VS1;I; ;62,7;None;;4.69x4.67x2.94;Excellent;Angola;Round;Very good;60,0;1;;1768,2148531712287;3816,09870247493;5584,313555646158
130;8181;0,4;AGSL;SI1;I; ;62,2;None;;4.75x4.76x2.96; ;Russia;Round; ;56,0;1;;1139,2575135736217;13676,842644172342;14816,100157745965
131;8182;0,5;AGSL;VS1;K; ;;None;;4.96x4.89x3.16;Very good;Botswana;Round;Good;;1;;891,1454413579941;10035,11578919135;10926,261230549344
132;8183;0,4;AGSL;SI2;E; ;59,6;None;;4.82x4.8x2.87;Excellent;Russia;Round;Very good;58,0;1;;2445,7873666148653;14507,16523857276;16952,952605187624
133;8184;0,4;AGSL;SI2;E; ;59,8;None;;4.82x4.8x2.87;Excellent;Russia;Round;Very good;;1;;1700,4449349022327;14033,487074866222;15733,932009768454
134;8185;0,41;AGSL;VS1;I; ;61,7;None;;4.8x4.76x2.95;Excellent;Russia;Round;Good;56,0;1;;1522,264541699593;13920,250315667094;15442,514857366687
135;8186;0,4;AGSL;SI2;E; ;62,2;None;False;4.76x4.73x2.95;Excellent;Canada;Round;Very good;56,0;1;;2151,9385583352537;18197,3660132988;20349,304571634053
136;8187;0,4;AGSL;SI2;D; ;64,0;Faint;;4.64x4.61x2.96;Very good;Russia;Asscher;Excellent;;1;;1563,2935998067715;13946,325000370285;15509,618600177057
137;8188;0,43;AGSL;SI2;E; ;61,9;;;4.83x4.84x2.99; ;Russia;Round; ;58,0;1;;1856,4136956082452;14132,607952765324;15989,02164837357
138;8189;0,4;GemEx;SI2;E; ;;None;;4.72x4.76x2.93; ;Botswana;Round; ;;1;;1683,0626098634148;10513,000420563068;12196,063030426483
140;8191;0,41;AGSL;SI1;G; ;62,1;None;;4.75x4.74x2.95;Very good;Russia;Marquise;Excellent;58,0;1;;1641,2162728831922;13995,84622326529;15637,062496148481
141;8192;0,4;AGSL;SI1;H; ;60,1;None;;4.8x4.76x2.87;Excellent;Russia;Round;Excellent;60,0;1;;1682,6079700402208;14022,15137143321;15704,759341473431
143;8194;0,4;AGSL;VVS2;H; ;63,9;None;;4.63x4.62x2.96;Excellent;Angola;Radiant;Very good;58,0;1;;1824,2416731274336;3851,704727391818;5675,946400519251
144;8195;0,4;AGSL;SI1;D; ;64,9;;;4.6x4.56x2.98;Very good;DR Congo;Round;Good;59,0;1;;2069,9896540769587;-5875,881450235207;-3805,8917961582483
145;8196;0,41;AGSL;VS2;H; ;;Medium Bl..;True;4.86x4.83x2.91;Excellent;Angola;Round;Excellent;59,0;1;;1684,6104891946754;3762,9666655462497;5447,577154740925
146;8197;0,43;AGSL;SI2;F; ;62,6;None;;4.82x4.85x3.03; ;Russia;Round; ;57,0;1;;1315,0328952377577;13788,550976435363;15103,58387167312
148;8199;0,41;AGSL;VVS1;I; ;61,9;None;;4.81x4.79x2.97;Excellent;Russia;Round;Very good;57,0;1;;1874,1409258424285;14143,873917921283;16018,01484376371
149;8200;0,5;AGSL;SI2;K; ;62,9;None;;5.06x5.02x3.17;Very good;Botswana;Pear;Very good;;1;;723,0312880858454;9928,276301692888;10651,307589778733
150;8201;0,46;AGSL;SI1;J; ;62,7;None;;4.89x4.91x3.07; ;Russia;Round; ;58,0;1;;1059,0182142286103;13625,84916472758;14684,86737895619
151;8202;0,4;AGSL;SI1;E; ;63,2;;;4.71*4.68x2.96;Very good;Canada;Oval;Very good;;1;;2214,0012659168506;18236,807950469018;20450,809216385867
152;8203;0,41;AGSL;SI2;D; ;63,4;None;;4.71x4.68x2.98;Excellent;Russia;ROUND;Very good;58,0;2;;1701,6917889393317;19675,184905092923;21376,876694032253
153;8204;0,4;AGSL;VS2;H; ;;;;4.75x4.73x2.94;Excellent;DR Congo;Oval ;Excellent;59,0;1;;1414,5536731993227;-6292,422490486908;-4877,868817287585
154;8205;0,4;AGSL;SI1;D; ;60,8;None;;4.73x4.68x2.86;Very good;Botswana;Round;Good;62,0;1;;1872,6622105362392;10658,886878948357;12531,549089484595
155;8206;0,4;AGSL;SI1;D; ;63,0;Faint;False;4.72x4.68x2.96;Very good;Russia;Round;Very good;58,0;1;;2189,289258374069;14344,156200396137;16533,445458770206
156;8207;0,4;AGSL;VS1;G; ;64,1;None;;4.66x4.62x2.97;Excellent;Russia;Round;Very good;57,0;1;;2019,1668636471327;14236,040440295841;16255,207303942974
157;8208;0,42;AGSL;SI2;D; ;60,9;None;;4.84x4.88x2.96; ;Russia;Radiant; ;56,0;1;;2089,7759188623168;14280,91373100402;16370,689649866337
158;8209;0,4;GemEx;SI1;E; ;62,5;None;;4.72x4.7x2.95;Very good;Australia;Round;Good;;1;;2017,0435646505887;14134,537667970577;16151,581232621165
159;8210;0,4;AGSL;SI1;E; ;61,2;None;;4.76x4.72x2.9;Excellent;DR Congo;Marquis;Very good;59,0;1;;1199,4794584327335;-6429,105919172394;-5229,626460739661
160;8211;0,4;AGSL;VS2;G; ;63,7;None;;4.72x4.68x2.99;Very good;Australia;Princess;Very good;;1;;4446,639497574943;15703,981010045225;20150,620507620166
161;8212;0,42;AGSL;SI2;E; ;60,7;None;;4.89x4.86x2.96;Excellent;South Africa;Round;Very good;57,0;1;;1919,008699037034;10392,942849594914;12311,951548631949
162;8213;0,4;AGSL;VS2;G; ;62,4;None;;4.7x4.68x2.92;Excellent;Russia;Radiant;Excellent;;1;;1590,81540468117;13963,81558917903;15554,6309938602
163;8214;0,4;AGSL;VS2;F; ;63,8;None;;4.69x4.64x2.97;Excellent;Angola;Uncut;Very good;55,0;1;;933,8043665922704;3285,8162306290433;4219,620597221314
164;8215;0,51;AGSL;SI1;L; ;61,9;;;5.14x5.12x3.17;Excellent;Russia;Round;Excellent;57,0;1;;687,4939405794422;13389,738984725926;14077,232925305369
165;8216;0,46;AGSL;SI2;F; ;63,8;;;4.8x4.84x3.07; ;Russia;Oval; ;;1;;1275,3575072196265;13763,336572771816;15038,694079991443
166;8217;0,4;AGSL;SI2;E; ;62,1;None;;4.74x4.72x2.94;Excellent;Botswana;Round;Excellent;;1;;2217,406221352634;10877,977733090542;13095,383954443176
167;8218;0,41;AGSL;SI2;D; ;60,8;None;True;4.8x4.79x2.92;Very good;DR Congo;ROUND;Excellent;59,0;1;;2235,7310340673184;-5770,549901696326;-3534,8188676290074
